ID,Type,RA,DECL,ID_OGLE_II,ID_OGLE_III,ID_OGLE_IV,ID_OTHER,I,V,V_I,P,dP,T0,A,Ecc,Incl,Peri,Var,Model,S,C,Remarks
OGLE-LMC-HB-0350,MS,5.607169,-69.486722,-99.99,LMC175.8.10945,LMC516.27.38572,-99.99,14.713,14.645,-0.068,4.950388,0.000059,9001.236,0.019,0.305,40.2,118,TEO,1,0.00622,-0.00241,
OGLE-LMC-HB-0351,RG,5.612675,-70.028389,LMC_SC16_187428,LMC176.8.58859,LMC516.10.24687,-99.99,15.613,17.273,1.66,316.554,0.062,9290.9,0.054,0.3264,55.3,162.4,TEO,1,0.00958,0.00039,
OGLE-LMC-HB-0352,RG,5.614225,-69.943944,LMC_SC16_191047,LMC176.7.12965,LMC516.10.35566,-99.99,16.509,18.362,1.853,330.21,0.11,9328.7,0.045,0.221,58.8,59,-99.99,1,0.01036,0.00108,
OGLE-LMC-HB-0353,RG,5.614228,-69.993528,LMC_SC16_187450,LMC176.7.12966,LMC516.10.24792,-99.99,16.021,17.877,1.856,663.71,0.17,9396.7,0.059,0.507,61.5,85,-99.99,1,0.00373,0.00014,
OGLE-LMC-HB-0354,RG,5.617014,-68.434417,-99.99,LMC174.5.22105,LMC517.18.33377,EROS2-star lm022-4k-12751,15.493,17.033,1.54,418.9,0.24,9184.3,0.032,0.285,73.7,38,-99.99,1,0.00468,0.0011,
OGLE-LMC-HB-0355,RG,5.617033,-71.356639,-99.99,LMC172.4.54168,LMC515.10.32701,OGLE-LMC-ECL-20686,15.898,17.613,1.715,364.881,0.095,9246.8,0.047,0.2835,88.6,100.8,-99.99,1,0.00617,0.00012,
OGLE-LMC-HB-0356,MS,5.623589,-69.334861,-99.99,LMC175.7.22196,LMC516.26.41372,OGLE-LMC-ECL-20866,15.999,15.993,-0.006,9.49778,0.00035,9008.47,0.009,0.54,28.5,60,ECL,0,0.00113,-0.00108,
OGLE-LMC-HB-0357,RG,5.625872,-69.832778,LMC_SC16_260647,LMC176.6.20877,LMC516.18.37071,2MASS J05373315-6949580,15.969,17.426,1.457,297.982,0.043,9072.6,0.063,0.3071,67.4,157.8,-99.99,1,0.00959,0.00172,
OGLE-LMC-HB-0358,RG,5.626611,-70.121111,LMC_SC16_240531,LMC176.8.28122,LMC516.09.42864,-99.99,16.018,17.504,1.486,285.61,0.1,9160.4,0.031,0.145,82.4,59,OSARG,1,0.00663,0.00245,
OGLE-LMC-HB-0359,RG,5.628733,-70.733167,LMC_SC17_23,LMC177.8.11942,LMC515.27.7405,-99.99,16.011,17.578,1.567,348.22,0.31,9020.4,0.022,0.212,57.1,117.7,-99.99,1,0.00547,0.00101,
OGLE-LMC-HB-0360,RG,5.629025,-68.033278,-99.99,LMC173.3.7,LMC554.25.15,EROS2-star lm022-2k-4629,14.614,16.399,1.785,694.28,0.21,9372,0.129,0.4005,58.53,36.1,-99.99,0,0.01473,0.00148,
OGLE-LMC-HB-0361,MS,5.630869,-69.540639,-99.99,LMC175.8.32785,LMC516.26.20393,-99.99,16.987,17.545,0.558,62.6163,0.0034,9006.41,0.058,0.413,33.39,47.7,-99.99,1,0.01368,-0.0079,
OGLE-LMC-HB-0362,RG,5.632253,-69.60125,-99.99,LMC176.5.50199,-99.99,2MASS J05375610-6936045,15.092,16.696,1.604,303.25,0.086,9011.21,0.114,0.2573,63.4,175.6,-99.99,1,0.02406,0.00514,
OGLE-LMC-HB-0363,RG,5.635447,-71.748111,-99.99,LMC179.7.4247,LMC515.02.32,-99.99,16.203,17.716,1.513,284.519,0.066,9073.5,0.045,0.334,77.6,71.7,-99.99,1,0.00504,0.00182,
OGLE-LMC-HB-0364,RG,5.636467,-68.175639,-99.99,LMC173.2.55,LMC554.16.16216,-99.99,15.527,16.914,1.387,499.38,0.18,9458.5,0.049,0.4484,63.9,169.7,OSARG,1,0.00453,0.00178,
OGLE-LMC-HB-0365,MS,5.6424,-69.065556,-99.99,LMC175.4.115,LMC553.25.36601,[P93] 305,16.61,16.66,0.05,14.77308,0.0003,9008.345,0.056,0.695,26.9,74,-99.99,1,0.00253,-0.00187,
OGLE-LMC-HB-0366,RG,5.644764,-67.968556,-99.99,LMC173.3.19,LMC554.24.23,-99.99,13.991,15.295,1.304,657.85,0.83,9521.9,0.017,0.229,61.7,156,ECL,0,0.00378,0.0003,
OGLE-LMC-HB-0367,MS,5.646236,-66.371833,-99.99,-99.99,LMC555.32.1920,-99.99,16.91,17.218,0.308,19.7311,0.00051,9000.05,0.1,0.2056,57,56.1,ECL,0,0.025,0.0006,
OGLE-LMC-HB-0368,RG,5.653944,-70.431278,LMC_SC17_150137,-99.99,LMC516.01.6188,-99.99,15.139,16.746,1.607,416.15,0.16,9024.9,0.035,0.262,42.2,0.6,OSARG,1,0.01089,-0.00231,
OGLE-LMC-HB-0369,RG,5.659806,-69.809917,LMC_SC17_237495,-99.99,LMC516.17.31929,-99.99,16.778,18.889,2.111,345.77,0.72,9283.7,0.026,0.204,65,47,-99.99,0,0.0056,0.00174,
OGLE-LMC-HB-0370,MS,5.660033,-71.080528,-99.99,LMC178.7.51068,LMC515.18.80,OGLE-LMC-ECL-36738,15.865,15.861,-0.004,3.901272,0.000042,9002.422,0.018,0.332,34.8,32.5,ECL,0,0.00531,-0.00286,
OGLE-LMC-HB-0371,RG,5.66175,-69.757778,-99.99,LMC176.3.31662,LMC553.07.44522,-99.99,13.99,15.536,1.546,616.42,0.44,9075,0.036,0.195,89.4,71.8,-99.99,1,0.00644,0.0027,
